candidate_id,slide,feature,x,y,width,height,score,tile_x,tile_y,image,overlay,crop_um,crop_mode,m_local_median_territory_um2,m_nc_ratio,m_territory_area_um2,m_z_cyto_entropy_mean,m_z_cyto_eosin_od_mean,m_z_cyto_gray_mean,m_z_cyto_local_std_mean,m_z_nn_distance_um,m_z_territory_area_um2,assigned_to,batch,duplicate_of,padding_um,rank,review_band,verdict,reviewer,notes
ballooning_x020001_y016071,R26-041-15,ballooning,20001,16071,82,52,-4.19567,19968,15872,images/ballooning_x020001_y016071.png,overlays/ballooning_x020001_y016071.png,120.853,bbox_padded,460.16291031750006,0.03963142772218369,619.0089635925001,-4.840714831466447,-1.3826235389670538,2.0924470682573584,-2.743366423865045,2.1936302980305493,1.0057173673254935,PathA,P273-2026-02-13_Christina HE,,40.0,5019,low,,,
ballooning_x009585_y022177,R25-264-1,ballooning,9585,22177,81,82,0.490613,9216,22016,images/ballooning_x009585_y022177.png,overlays/ballooning_x009585_y022177.png,120.358,bbox_padded,440.7824652075,0.052602348460806095,773.00990559,-0.010224511120282487,-0.022528854159160883,0.04131605027857848,-0.6732989969887807,0.8452972539793754,1.734084691070107,PathA,2025-08-25HE,,40.0,,vetoed,,,
ballooning_x026898_y015763,R25-223-14_HE,ballooning,26898,15763,48,72,-0.022897,26624,15360,images/ballooning_x026898_y015763.png,overlays/ballooning_x026898_y015763.png,104.013,bbox_padded,384.87969394875006,0.09288722508189048,524.2533063300001,0.0354644296550527,0.3245082091016403,-0.4218847741826903,-0.27263676201549614,-0.010423513376767266,1.0087398821392317,PathA,2025-07-09_Evelyn_HE,,40.0,3379,mid,,,
ballooning_x010468_y014671,R25-151_32_HE,ballooning,10468,14671,56,36,-1.002245,10240,14336,images/ballooning_x010468_y014671.png,overlays/ballooning_x010468_y014671.png,107.975,bbox_padded,237.96242730000003,0.06431686046511627,337.56319584000005,-0.6923182249440737,0.3783886844142115,-0.24609603128119412,-0.8530068284854087,0.5778190142473378,0.7436340756211749,PathA,2025-04-29HE,,40.0,6397,mid,,,
ballooning_x048111_y021824,R26-041-1,ballooning,48111,21824,52,42,3.068238,47616,21504,images/ballooning_x048111_y021824.png,overlays/ballooning_x048111_y021824.png,105.994,bbox_padded,206.0705556,0.22368421052631582,316.95614028,0.5951878714602914,-0.9691245593363734,0.6327384360455461,0.567318763666226,0.4443947451871311,1.5300869424512975,PathA,P273-2026-02-13_Christina HE,,40.0,510,top,,,
ballooning_x047639_y017304,R25-223-3_HE,ballooning,47639,17304,66,78,3.93927,47616,16896,images/ballooning_x047639_y017304.png,overlays/ballooning_x047639_y017304.png,112.928,bbox_padded,390.85941989250006,0.056088247772592276,722.7802076625001,0.4565313241649207,-0.7906464613557849,0.9346920079288662,0.9679858751515968,1.3958961049427439,2.1485250089978414,PathA,2025-07-09_Evelyn_HE,,40.0,582,top,,,
ballooning_x011969_y015920,R25-345-17,ballooning,11969,15920,67,61,-0.444544,11776,15872,images/ballooning_x011969_y015920.png,overlays/ballooning_x011969_y015920.png,113.424,bbox_padded,473.71695579000004,0.06475026263012129,642.1919010975,-0.3650932896510482,-0.07857651055015538,0.2222774498003135,-0.9108405491939016,0.9259112007588318,0.8510914636114867,PathA,2025-11-14HE,,40.0,1691,mid,,,
ballooning_x036886_y018938,R26-041-4,ballooning,36886,18938,43,57,-0.015961,36864,18432,images/ballooning_x036886_y018938.png,overlays/ballooning_x036886_y018938.png,101.537,bbox_padded,565.6514090175001,0.04389918210649308,367.4311602975,0.029351289045267872,0.3540918570592217,-0.32743033663858573,-0.46574559011526334,0.9147520480202801,-0.9207831614058524,PathA,P273-2026-02-13_Christina HE,,40.0,,vetoed,,,
ballooning_x013574_y014076,R22-354_23_ACLY656 NASH4,ballooning,13574,14076,66,66,-0.117537,13312,13824,images/ballooning_x013574_y014076.png,overlays/ballooning_x013574_y014076.png,112.928,bbox_padded,325.78773552,0.0932296231375986,559.8250093800001,0.023515373705963686,0.23704072480705002,-0.1933969541079412,-0.3242269148609563,2.0350002130637956,1.6177603633957816,PathA,2025-03-28_Celina 656D H&E,,40.0,2119,mid,,,
ballooning_x005599_y014242,R25-151_32_HE,ballooning,5599,14242,74,53,2.24598,5120,13824,images/ballooning_x005599_y014242.png,overlays/ballooning_x005599_y014242.png,116.891,bbox_padded,242.68487753250002,0.05970149253731344,530.0797059675,-0.3579135472288902,0.16360829484976044,1.3182979053144,0.10573506753654639,3.7610930600239634,2.61427932084973,PathA,2025-04-29HE,,40.0,971,top,,,
